value,state
45,Alabama
13,Alaska
75,Arizona
15,Arkansas
521,California
92,Colorado
40,Connecticut
8,Delaware
192,Florida
115,Georgia
12,Hawaii
18,Idaho
144,Illinois
66,Indiana
17,Kansas
23,Kentucky
46,Louisiana
16,Maine
60,Maryland
79,Massachusetts
85,Michigan
52,Minnesota
17,Missippi
58,Missouri
9,Montana
16,Nebraska
23,Nevada
10,"New Hampshire"
96,"New Jersey"
11,"New Mexico"
220,"New York"
73,"North Carolina"
7,"North Dakota"
105,Ohio
37,Oklahoma
54,Oregon
121,Pennsylvania
16,"Rhode Island"
38,"South Carolina"
7,"South Dakota"
40,Tennessee
252,Texas
35,Utah
7,Vermont
106,Virginia
112,Washington
26,"Washington DC"
14,"West Virginia"
28,Wisconsin
6,Wyoming
